scene,mean acc,count,var acc
cottage_garden,0.901359,1,
banquet_hall,0.903775,1,
piano_store,0.903966,1,
lyceum,0.903988,1,
store,0.904371,1,
sand_trap,0.904385,2,0.01828445645
sacristy,0.904416,1,
gas_station,0.90553,2,0.002037645122
airfield,0.906456,1,
auto_mechanics_outdoor,0.907095,1,
apartment_building_outdoor,0.908217333333,6,0.0101393245483
gatehouse,0.908361,1,
badminton_court_indoor,0.908979,1,
strip_mine,0.909586,1,
mountain_road,0.909702,1,
engine_room,0.909762,1,
observatory_outdoor,0.909923,1,
student_residence,0.910436,1,
bowling_alley,0.911196,2,0.005759005842
iceberg,0.911694,1,
farm_building,0.912339,1,
forest_road,0.912573,1,
gorge,0.91279,1,
junk_pile,0.91387,1,
oast_house,0.914346,1,
trailer_park,0.914963,1,
cathedral_outdoor,0.916363,1,
hatchery,0.91681,1,
funeral_chapel,0.917065,1,
editing_room,0.917087,1,
guesthouse,0.917555,1,
fort,0.91785,1,
country_road,0.918028,1,
tidal_river,0.919409,1,
winery,0.919674,1,
fire_station,0.919726,1,
newsstand_outdoor,0.92043,1,
football_field,0.9208,1,
mausoleum,0.920809,1,
fortress,0.922102,1,
sidewalk,0.92285,1,
galley,0.923042,2,0.003271919618
kennel_indoor,0.923527,1,
water_treatment_plant_outdoor,0.924677,1,
fjord,0.926282,1,
football,0.92702,1,
gun_deck_indoor,0.927093,1,
archaelogical_excavation,0.928269,1,
theater_outdoor,0.928777,1,
formal_garden,0.930185,1,
hot_spring,0.930227,1,
volleyball_court_outdoor,0.930817,1,
truck_stop,0.931088,1,
viaduct,0.931272,1,
brewery_outdoor,0.931373,1,
car_dealership,0.931592,1,
marsh,0.9316335,2,0.0026897445125
arrival_gate_outdoor,0.931888,4,0.002479149254
driving_range_outdoor,0.934691,1,
hacienda,0.935041,1,
chapel,0.936995,1,
sandbar,0.937405,1,
library_outdoor,0.937565,1,
shelter_tent,0.938638,1,
tearoom,0.93887,1,
sewing_room,0.940092,1,
ocean,0.9410255,2,0.0011368342445
heath,0.941693,1,
excavation,0.942528,1,
roof,0.943113,1,
needleleaf,0.94541075,4,0.000384850832917
geodesic_dome_outdoor,0.946325,1,
barrack,0.946411,1,
rock_arch,0.946629,1,
slum,0.946776,2,1.176125e-05
confessional,0.947619,1,
beach_house,0.947761,1,
bomb_shelter_indoor,0.948254,1,
control_room,0.94925,1,
hangar_outdoor,0.950732,1,
firing_range_outdoor,0.95076,1,
town_house,0.951102,2,4.8275138e-05
